"(13, 2)",0.0076
"(13, 3)",0.0079
"(13, 4)",0.008
"(13, 5)",0.0082
"(13, 6)",0.0083
"(13, 7)",0.0085
"(13, 8)",0.0088
"(13, 9)",0.0091
"(13, 10)",0.0093
"(13, 11)",0.0095
"(13, 12)",0.0096
"(13, 13)",0.0096
"(13, 14)",0.0096
"(13, 15)",0.0095
"(13, 16)",0.0095
"(13, 17)",0.0096
"(13, 18)",0.0096
"(13, 19)",0.0096
"(13, 20)",0.0095
"(13, 21)",0.0093
"(13, 22)",0.0091
"(13, 23)",0.0088
"(13, 24)",0.0085
"(13, 25)",0.0083
"(13, 26)",0.0082
"(13, 27)",0.008
"(13, 28)",0.0079
"(13, 29)",0.0076
"(13, 30)",0.0074
"(13, 31)",0.0072
"(14, 0)",0.0073
"(14, 1)",0.0075
"(14, 2)",0.0079
"(14, 3)",0.0082
"(14, 4)",0.0083
"(14, 5)",0.0085
"(14, 6)",0.0087
"(14, 7)",0.009
"(14, 8)",0.0092
"(14, 9)",0.0094
"(14, 10)",0.0096
"(14, 11)",0.0098
"(14, 12)",0.0099
"(14, 13)",0.0099
"(14, 14)",0.0099
"(14, 15)",0.0099
"(14, 16)",0.0099
"(14, 17)",0.0099
"(14, 18)",0.0099
"(14, 19)",0.0099
"(14, 20)",0.0098
"(14, 21)",0.0096
"(14, 22)",0.0094
"(14, 23)",0.0092
"(14, 24)",0.009
"(14, 25)",0.0087
"(14, 26)",0.0085
"(14, 27)",0.0083
"(14, 28)",0.0082
"(14, 29)",0.0079
"(14, 30)",0.0075
"(14, 31)",0.0073
"(15, 0)",0.0077
"(15, 1)",0.0079
"(15, 2)",0.0083
"(15, 3)",0.0085
"(15, 4)",0.0087
"(15, 5)",0.0089
"(15, 6)",0.0091
"(15, 7)",0.0094
"(15, 8)",0.0095
"(15, 9)",0.0097
"(15, 10)",0.01
"(15, 11)",0.0101
"(15, 12)",0.0102
"(15, 13)",0.0103
"(15, 14)",0.0103
"(15, 15)",0.0103
"(15, 16)",0.0103
"(15, 17)",0.0103
"(15, 18)",0.0103
"(15, 19)",0.0102
"(15, 20)",0.0101
"(15, 21)",0.01
"(15, 22)",0.0097
"(15, 23)",0.0095
"(15, 24)",0.0094
"(15, 25)",0.0091
"(15, 26)",0.0089
"(15, 27)",0.0087
"(15, 28)",0.0085
"(15, 29)",0.0083
"(15, 30)",0.0079
"(15, 31)",0.0077
"(16, 0)",0.0082
"(16, 1)",0.0084
"(16, 2)",0.0087
"(16, 3)",0.0089
"(16, 4)",0.0092
"(16, 5)",0.0094
"(16, 6)",0.0096
"(16, 7)",0.0098
"(16, 8)",0.01
"(16, 9)",0.0102
"(16, 10)",0.0103
"(16, 11)",0.0105
"(16, 12)",0.0106
"(16, 13)",0.0107
"(16, 14)",0.0108
"(16, 15)",0.0108
"(16, 16)",0.0108
"(16, 17)",0.0108
"(16, 18)",0.0107
"(16, 19)",0.0106
"(16, 20)",0.0105
"(16, 21)",0.0103
"(16, 22)",0.0102
"(16, 23)",0.01
"(16, 24)",0.0098
"(16, 25)",0.0096
"(16, 26)",0.0094
"(16, 27)",0.0092
"(16, 28)",0.0089
"(16, 29)",0.0087
"(16, 30)",0.0084
"(16, 31)",0.0082
"(17, 0)",0.0086
"(17, 1)",0.0087
"(17, 2)",0.009
"(17, 3)",0.0092
"(17, 4)",0.0095
"(17, 5)",0.0098
"(17, 6)",0.01
"(17, 7)",0.0102
"(17, 8)",0.0104
"(17, 9)",0.0106
"(17, 10)",0.0107
"(17, 11)",0.0109
"(17, 12)",0.0111
"(17, 13)",0.0112
"(17, 14)",0.0112
"(17, 15)",0.0112
"(17, 16)",0.0112
"(17, 17)",0.0112
"(17, 18)",0.0112
"(17, 19)",0.0111
"(17, 20)",0.0109
"(17, 21)",0.0107
"(17, 22)",0.0106
"(17, 23)",0.0104
"(17, 24)",0.0102
"(17, 25)",0.01
"(17, 26)",0.0098
"(17, 27)",0.0095
"(17, 28)",0.0092
"(17, 29)",0.009
"(17, 30)",0.0087
"(17, 31)",0.0086
"(18, 0)",0.0088
"(18, 1)",0.009
"(18, 2)",0.0092
"(18, 3)",0.0094
"(18, 4)",0.0097
"(18, 5)",0.01
"(18, 6)",0.0103
"(18, 7)",0.0106
"(18, 8)",0.0107
"(18, 9)",0.0109
"(18, 10)",0.0113
"(18, 11)",0.0115
"(18, 12)",0.0116
"(18, 13)",0.0116
"(18, 14)",0.0115
"(18, 15)",0.0114
"(18, 16)",0.0114
"(18, 17)",0.0115
"(18, 18)",0.0116
"(18, 19)",0.0116
"(18, 20)",0.0115
"(18, 21)",0.0113
"(18, 22)",0.0109
"(18, 23)",0.0107
"(18, 24)",0.0106
"(18, 25)",0.0103
"(18, 26)",0.01
"(18, 27)",0.0097
"(18, 28)",0.0094
"(18, 29)",0.0092
"(18, 30)",0.009
"(18, 31)",0.0088
"(19, 0)",0.0092
"(19, 1)",0.0093
"(19, 2)",0.0095
"(19, 3)",0.0098
"(19, 4)",0.0101
"(19, 5)",0.0104
"(19, 6)",0.0108
"(19, 7)",0.0111
"(19, 8)",0.0112
"(19, 9)",0.0114
"(19, 10)",0.0117
"(19, 11)",0.0119
"(19, 12)",0.0121
"(19, 13)",0.0121
"(19, 14)",0.0119
"(19, 15)",0.0118
"(19, 16)",0.0118
"(19, 17)",0.0119
"(19, 18)",0.0121
"(19, 19)",0.0121
"(19, 20)",0.0119
"(19, 21)",0.0117
"(19, 22)",0.0114
"(19, 23)",0.0112
"(19, 24)",0.0111
"(19, 25)",0.0108
"(19, 26)",0.0104
"(19, 27)",0.0101
"(19, 28)",0.0098
"(19, 29)",0.0095
"(19, 30)",0.0093
"(19, 31)",0.0092
"(20, 0)",0.0096
"(20, 1)",0.0097
"(20, 2)",0.0101
"(20, 3)",0.0104
"(20, 4)",0.0107
"(20, 5)",0.0111
"(20, 6)",0.0115
"(20, 7)",0.0117
"(20, 8)",0.0119
"(20, 9)",0.012
"(20, 10)",0.0121
"(20, 11)",0.0123
"(20, 12)",0.0125
"(20, 13)",0.0126
